Severity,clean,uni,gauss,backg,impul,global-den-dec,local-den-dec,cut,clsion,Mean
Sev 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
