Severity,clean,uni,gauss,backg,impul,global-den-dec,local-den-dec,cut,clsion,Mean
Sev 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sev 1,N/A,10.41 ± 28.37,N/A,N/A,59.00 ± 62.95,N/A,N/A,N/A,N/A,34.70 ± 24.29
Sev 2,N/A,56.75 ± 57.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.75 ± 0.00
Sev 3,N/A,126.98 ± 47.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126.98 ± 0.00
Sev 4,N/A,141.06 ± 39.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141.06 ± 0.00
Sev 5,N/A,144.22 ± 38.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144.22 ± 0.00
Mean,N/A,95.88 ± 53.26,N/A,N/A,59.00 ± 0.00,N/A,N/A,N/A,N/A,77.44 ± 18.44
